DATE,XTNTVA01KRM667S
1960-01-01,-26053613.0493377
1960-02-01,-28938154.0325846
1960-03-01,-26869317.226751298
1960-04-01,-27780401.9244846
1960-05-01,-25028983.2542548
1960-06-01,-26571289.1427454
1960-07-01,-23582113.7957869
1960-08-01,-29329379.561847597
1960-09-01,-23486611.0317672
1960-10-01,-25153074.0793597
1960-11-01,-21778794.697719898
1960-12-01,-25479836.462208897
1961-01-01,-20998353.6598535
1961-02-01,-24253856.487593003
1961-03-01,-24049520.5349505
1961-04-01,-26410092.5794767
1961-05-01,-27086400.1419709
1961-06-01,-28239083.3848618
1961-07-01,-20250764.9050027
1961-08-01,-20854712.609764703
1961-09-01,-18925987.7347686
1961-10-01,-20728089.1505431
1961-11-01,-20966585.6807407
1961-12-01,-22324323.1310314
1962-01-01,-29360900.3274169
1962-02-01,-28553557.0953133
1962-03-01,-30002693.3398095
1962-04-01,-27479571.5665516
1962-05-01,-28097894.502258502
1962-06-01,-22712493.6620673
1962-07-01,-36924141.4992766
1962-08-01,-32986810.759642202
1962-09-01,-31944778.7521309
1962-10-01,-33290236.0893088
1962-11-01,-35913335.54328021
1962-12-01,-30426209.7289397
1963-01-01,-36799729.726684205
1963-02-01,-34680619.7016161
1963-03-01,-34561251.0500529
1963-04-01,-34853850.5081757
1963-05-01,-43434375.003087
1963-06-01,-46149421.2220362
1963-07-01,-42056572.7518622
1963-08-01,-41762217.230611295
1963-09-01,-45821599.9936646
1963-10-01,-46178183.348010905
1963-11-01,-43914036.1994811
1963-12-01,-26198652.8925145
1964-01-01,-26693239.6651713
1964-02-01,-24300549.6343758
1964-03-01,-30159988.618706
1964-04-01,-24342345.9506099
1964-05-01,-19453950.4989155
1964-06-01,-20748489.0361981
1964-07-01,-9931638.89349952
1964-08-01,-22129460.8047807
1964-09-01,-34899091.5353632
1964-10-01,-25264491.2650315
1964-11-01,-26847509.7093683
1964-12-01,-20823198.1902815
1965-01-01,-10498868.575423
1965-02-01,-19033278.2389303
1965-03-01,-28018961.088498402
1965-04-01,-22099700.569562502
1965-05-01,-20447460.1093809
1965-06-01,-21565628.5287015
1965-07-01,-25831956.5945743
1965-08-01,-27005947.2237948
1965-09-01,-24583213.775078602
1965-10-01,-29364805.059235
1965-11-01,-22455274.878752902
1965-12-01,-35088032.3549808
1966-01-01,-24968314.564171802
1966-02-01,-33648469.962532
1966-03-01,-22743030.934684698
1966-04-01,-33544415.416341998
1966-05-01,-30921163.7172282
1966-06-01,-34595889.7266034
1966-07-01,-32205146.192678303
1966-08-01,-38636601.4847284
1966-09-01,-29150788.979504302
1966-10-01,-43052066.7984408
1966-11-01,-32290350.7821509
1966-12-01,-91127778.7659623
1967-01-01,-54550468.8819345
1967-02-01,-50429462.7471874
1967-03-01,-41909329.844003595
1967-04-01,-50091332.8837937
1967-05-01,-40046880.731204405
1967-06-01,-37433053.6884832
1967-07-01,-54323137.0989219
1967-08-01,-52114451.3591587
1967-09-01,-63984789.396708496
1967-10-01,-67012382.6473287
1967-11-01,-68973667.31623359
1967-12-01,-87856479.7337973
1968-01-01,-79637338.6355341
1968-02-01,-66281379.70885729
1968-03-01,-72069602.67071299
1968-04-01,-66619004.7324417
1968-05-01,-81488724.0724361
1968-06-01,-75582320.6711276
1968-07-01,-74545491.5699392
1968-08-01,-84155935.451089
1968-09-01,-80027719.2061161
1968-10-01,-84667406.2650162
1968-11-01,-96965080.6467464
1968-12-01,-120595279.179984
1969-01-01,-90658316.3350744
1969-02-01,-85376500.0674001
1969-03-01,-78793896.4437458
1969-04-01,-87419156.7800964
1969-05-01,-92861630.65401259
1969-06-01,-81733263.1976784
1969-07-01,-96499712.743315
1969-08-01,-162011278.51658002
1969-09-01,-115028430.32331
1969-10-01,-92480633.3233526
1969-11-01,-122946541.271321
1969-12-01,-97515335.4845073
1970-01-01,-102417855.366185
1970-02-01,-87575304.73791921
1970-03-01,-81200773.8028928
1970-04-01,-76944375.99658841
1970-05-01,-79734477.5649532
1970-06-01,-75834466.2371415
1970-07-01,-75490083.9222998
1970-08-01,-89957771.3789771
1970-09-01,-92319683.8813655
