"시점",M2(말잔 계절조정계열),현금통화,요구불예금,수시입출식저축성예금,MMF,만기2년미만정기예적금,수익증권,시장형상품1),만기2년미만금융채,만기2년미만금전신탁,기타2)
"2000.10",698792.9,-,-,-,-,-,-,-,-,-,-
"2000.11",704545.0,-,-,-,-,-,-,-,-,-,-
"2000.12",704065.6,-,-,-,-,-,-,-,-,-,-
"2001.01",711351.5,-,-,-,-,-,-,-,-,-,-
"2001.02",714773.7,-,-,-,-,-,-,-,-,-,-
"2001.03",717620.7,-,-,-,-,-,-,-,-,-,-
"2001.04",720839.2,-,-,-,-,-,-,-,-,-,-
"2001.05",730570.3,-,-,-,-,-,-,-,-,-,-
"2001.06",738363.6,-,-,-,-,-,-,-,-,-,-
"2001.07",749966.5,-,-,-,-,-,-,-,-,-,-
"2001.08",755723.8,-,-,-,-,-,-,-,-,-,-
"2001.09",765193.1,-,-,-,-,-,-,-,-,-,-
"2001.10",765566.9,-,-,-,-,-,-,-,-,-,-
"2001.11",764751.7,-,-,-,-,-,-,-,-,-,-
"2001.12",763847.0,16520.5,42986.5,150643.6,32152.4,323867.9,74230.4,35106.2,11786.2,48162.9,28390.2
"2002.01",774224.7,16784.2,45564.9,154297.3,33400.0,327144.2,74383.4,35768.5,12105.0,46591.7,28185.4
"2002.02",784552.7,16968.8,46733.0,157410.3,35097.7,328795.6,76107.1,36444.3,12674.6,45458.7,28862.6
"2002.03",798918.7,17048.5,47865.9,160416.9,35803.0,333042.4,78862.7,37058.9,14038.1,45827.5,28954.9
"2002.04",808269.2,17053.3,48306.5,160469.1,35892.7,337241.6,80725.0,37276.1,16207.2,46446.0,28651.8
"2002.05",817431.9,17123.9,47505.6,161192.0,37104.2,340739.2,83036.8,37987.4,16759.3,47309.1,28674.3
"2002.06",821128.2,17258.5,48147.0,158103.5,37175.4,345049.2,84013.3,38583.1,16429.3,48219.0,28149.9
"2002.07",829984.9,17262.6,49255.2,161618.9,35813.4,350367.8,83966.6,39182.3,16776.6,48031.6,27709.8
"2002.08",835984.1,17321.2,49862.1,162755.1,36667.0,352819.6,83045.1,40735.1,17534.7,47790.8,27453.3
"2002.09",848773.9,17148.4,50961.3,166531.5,40213.8,358276.0,82395.9,41333.6,17493.8,47236.6,27183.0
"2002.10",862428.8,17438.4,53477.0,167469.0,39633.4,360851.2,83829.0,42673.8,19387.7,48195.5,29473.8
"2002.11",868092.0,17472.2,52362.3,165422.3,41864.4,363042.0,83719.3,45203.6,21152.6,47451.0,30402.3
"2002.12",871564.1,17655.3,52319.0,164103.8,43188.2,364399.6,84910.1,45323.3,22781.1,47668.9,29215.0
"2003.01",882004.1,19375.0,52308.2,162616.9,46010.9,365296.3,87466.9,46378.7,24325.4,47008.3,31217.7
"2003.02",883705.6,17700.8,52093.6,159780.8,45587.5,367197.5,91628.2,45114.7,26132.1,47027.8,31442.7
"2003.03",887466.4,17725.8,50887.2,177119.4,30149.2,368167.6,88379.3,47947.0,28516.1,45254.7,33320.1
"2003.04",882446.3,17774.0,51965.4,178734.4,26261.3,367307.2,85558.2,50236.5,27126.3,43334.2,34148.7
"2003.05",883262.6,17789.2,53703.4,178631.1,28505.6,368532.5,83481.6,51128.1,27589.0,40874.2,33028.0
"2003.06",880029.8,17395.8,52548.9,174276.4,31704.4,374892.6,80927.9,50142.8,26642.6,39454.9,32043.5
"2003.07",888595.9,17870.5,52270.3,176457.7,35556.1,380917.4,78401.5,50290.2,26328.3,38045.6,32458.2
"2003.08",889963.5,18049.0,54254.2,177789.6,37065.1,378703.6,77832.9,50531.1,27466.6,36682.4,31589.0
"2003.09",889643.2,17956.8,54130.0,177206.9,38552.4,375778.8,76635.3,52417.9,29866.1,35807.1,31291.7
"2003.10",891214.0,17810.2,57434.0,180499.4,39006.2,373853.8,75189.6,52834.2,30076.4,34672.7,29837.6
"2003.11",895503.7,17955.7,56451.3,185751.9,33115.0,381065.8,71913.1,54368.3,28669.9,33976.2,32236.5
"2003.12",895639.8,16806.6,55733.1,182068.1,37012.3,388903.2,67557.1,54436.8,28491.3,33670.8,30960.5
"2004.01",897070.9,18406.5,54598.8,183660.7,37129.6,392908.7,62581.1,53474.8,28759.0,31559.0,33992.6
"2004.02",906986.7,16876.3,56946.2,185269.4,39801.0,395513.2,63568.5,53714.0,31587.7,30110.2,33600.2
"2004.03",911447.1,17139.5,61600.7,182241.5,42608.6,392919.8,64762.5,54425.9,32225.1,29091.5,34432.1
"2004.04",920236.6,17437.9,57650.9,181977.0,44768.9,400189.4,65427.7,55004.0,33910.2,29171.6,34699.1
"2004.05",923153.4,17312.3,57892.1,180766.6,48076.3,397610.4,65061.4,56454.2,35154.6,29616.5,35208.9
"2004.06",923962.3,17041.3,58417.8,180944.6,47205.6,395087.0,66537.0,54907.2,35977.6,30355.4,37488.8
"2004.07",930869.0,17533.9,58804.0,180536.8,47016.2,398435.2,69457.7,55629.1,37737.8,28999.5,36718.8
"2004.08",938875.7,17539.1,58227.9,180655.0,48452.0,401552.2,72140.5,55293.8,37512.4,28685.7,38817.1
"2004.09",941989.4,17826.3,58412.4,180872.8,51549.8,402209.7,75414.4,53511.8,37476.3,28518.3,36197.6
"2004.10",943282.3,18235.9,58420.9,178584.3,55279.9,402146.5,76392.0,53880.1,36694.7,27892.5,35755.6
"2004.11",953327.6,18374.2,58233.3,178088.5,62516.1,405629.2,78529.3,52454.1,38387.0,27538.6,33577.3
"2004.12",953841.5,18489.2,60176.3,178529.3,58028.8,404958.3,82899.0,53861.2,39813.3,26893.2,30192.8
"2005.01",958504.2,18516.9,62702.5,180433.3,58088.9,403569.0,81480.1,55712.5,40154.7,27628.1,30218.1
"2005.02",971109.0,18789.7,62443.3,187097.4,58882.3,404172.6,81291.2,58472.5,42168.3,28332.4,29459.4
