DATE,LRACTTTTKRM156S
1999-06-01,61.3
1999-07-01,61.0
1999-08-01,61.2
1999-09-01,61.6
1999-10-01,61.5
1999-11-01,61.5
1999-12-01,61.3
2000-01-01,60.9
2000-02-01,60.9
2000-03-01,60.9
2000-04-01,60.9
2000-05-01,61.1
2000-06-01,61.1
2000-07-01,61.4
2000-08-01,61.5
2000-09-01,61.6
2000-10-01,61.5
2000-11-01,61.3
2000-12-01,61.2
2001-01-01,60.6
2001-02-01,60.7
2001-03-01,60.9
2001-04-01,61.6
2001-05-01,61.7
2001-06-01,61.6
2001-07-01,61.6
2001-08-01,61.7
2001-09-01,61.8
2001-10-01,61.7
2001-11-01,61.9
2001-12-01,61.8
2002-01-01,61.9
2002-02-01,62.1
2002-03-01,62.0
2002-04-01,62.3
2002-05-01,62.1
2002-06-01,62.1
2002-07-01,62.1
2002-08-01,62.2
2002-09-01,62.2
2002-10-01,62.0
2002-11-01,61.8
2002-12-01,62.1
2003-01-01,61.8
2003-02-01,61.6
2003-03-01,61.5
2003-04-01,61.3
2003-05-01,61.4
2003-06-01,61.4
2003-07-01,61.6
2003-08-01,61.5
2003-09-01,61.5
2003-10-01,61.6
2003-11-01,61.8
2003-12-01,62.0
2004-01-01,62.4
2004-02-01,62.7
2004-03-01,62.6
2004-04-01,62.4
2004-05-01,62.1
2004-06-01,62.1
2004-07-01,62.1
2004-08-01,61.8
2004-09-01,62.4
2004-10-01,62.4
2004-11-01,62.3
2004-12-01,62.7
2005-01-01,62.4
2005-02-01,62.3
2005-03-01,62.5
2005-04-01,62.3
2005-05-01,62.3
2005-06-01,62.2
2005-07-01,62.1
2005-08-01,61.9
2005-09-01,62.2
2005-10-01,62.2
2005-11-01,62.2
2005-12-01,62.1
2006-01-01,62.3
2006-02-01,62.3
2006-03-01,62.3
2006-04-01,62.2
2006-05-01,62.1
2006-06-01,62.1
2006-07-01,62.0
2006-08-01,62.1
2006-09-01,62.1
2006-10-01,62.2
2006-11-01,62.2
2006-12-01,62.3
2007-01-01,62.4
2007-02-01,62.2
2007-03-01,62.3
2007-04-01,62.2
2007-05-01,62.2
2007-06-01,62.2
2007-07-01,62.1
2007-08-01,62.0
2007-09-01,62.0
2007-10-01,62.1
2007-11-01,62.2
2007-12-01,62.1
2008-01-01,62.1
2008-02-01,61.9
2008-03-01,61.9
2008-04-01,61.9
2008-05-01,61.8
2008-06-01,61.8
2008-07-01,61.7
2008-08-01,61.7
2008-09-01,61.5
2008-10-01,61.5
2008-11-01,61.6
2008-12-01,61.4
2009-01-01,61.2
2009-02-01,60.9
2009-03-01,60.9
2009-04-01,60.9
2009-05-01,60.9
2009-06-01,61.4
2009-07-01,61.1
2009-08-01,61.1
2009-09-01,61.1
2009-10-01,60.9
2009-11-01,61.0
2009-12-01,60.7
2010-01-01,61.2
2010-02-01,60.9
2010-03-01,60.9
2010-04-01,61.1
2010-05-01,61.2
2010-06-01,61.2
2010-07-01,61.5
2010-08-01,61.1
2010-09-01,61.1
2010-10-01,61.1
2010-11-01,60.9
2010-12-01,61.2
2011-01-01,60.7
2011-02-01,61.2
2011-03-01,61.5
2011-04-01,61.4
2011-05-01,61.5
2011-06-01,61.7
2011-07-01,61.4
2011-08-01,61.5
2011-09-01,60.8
2011-10-01,61.5
2011-11-01,61.4
2011-12-01,61.3
2012-01-01,61.2
2012-02-01,61.5
2012-03-01,61.6
2012-04-01,61.8
2012-05-01,61.9
2012-06-01,61.8
2012-07-01,61.7092861935656
2012-08-01,61.5845496388664
2012-09-01,61.712512995622
2012-10-01,61.6357206855138
2012-11-01,61.4048703377907
2012-12-01,61.1569717554948
2013-01-01,61.2291779507208
2013-02-01,61.0442129245082
2013-03-01,61.2370596117587
2013-04-01,61.5948623157496
2013-05-01,61.691870940857
2013-06-01,61.7922698457754
2013-07-01,61.8507245417852
2013-08-01,61.869990674835
2013-09-01,61.9891936765792
2013-10-01,62.0994076817597
2013-11-01,62.1367243765357
2013-12-01,62.0295068477047
2014-01-01,62.4577170992051
2014-02-01,62.8125315318064
2014-03-01,62.5240588054642
2014-04-01,62.8814670819964
2014-05-01,62.5034217970225
2014-06-01,62.5299768599678
2014-07-01,62.725361980383
2014-08-01,62.957173387586
2014-09-01,62.7905187726995
2014-10-01,62.8262945794218
2014-11-01,62.8674297257921
2014-12-01,62.6530398688479
2015-01-01,62.8013745257352
2015-02-01,62.982142981493
2015-03-01,62.6304583785589
2015-04-01,62.6532210600464
2015-05-01,62.7500914474629
2015-06-01,62.7082379174589
2015-07-01,62.8748673879529
2015-08-01,62.8302845528455
2015-09-01,62.8384351033163
2015-10-01,62.8079101778729
2015-11-01,62.775951800342
2015-12-01,62.9749736285705
2016-01-01,62.8108381868828
2016-02-01,62.9248273545799
2016-03-01,62.682875813388
2016-04-01,62.5583131395496
2016-05-01,62.5949310437423
2016-06-01,62.7199812845324
2016-07-01,62.826093434465
2016-08-01,63.2450437324463
2016-09-01,63.1243718219054
2016-10-01,63.0624199157972
2016-11-01,63.0159227439349
2016-12-01,63.053618647341
2017-01-01,62.8740545873068
2017-02-01,63.2987888511316
2017-03-01,63.1822743237696
2017-04-01,63.2525740179754
2017-05-01,62.9659493921731
2017-06-01,63.0785237328768
2017-07-01,63.0674358011628
2017-08-01,63.2875721557336
2017-09-01,63.2769145078604
2017-10-01,63.1975826148201
2017-11-01,63.2001889195934
2017-12-01,63.3137236210786
2018-01-01,63.244880594475
2018-02-01,62.9643069358577
2018-03-01,63.2707482993197
2018-04-01,63.183672544309
2018-05-01,63.0573666873581
2018-06-01,62.9277549319759
2018-07-01,62.9651003582526
2018-08-01,63.3077968754594
2018-09-01,63.2851988823886
2018-10-01,63.2147214314762
2018-11-01,63.3217414867672
2018-12-01,63.0874073405468
2019-01-01,63.3351986064605
2019-02-01,63.2098832192113
2019-03-01,63.2462715974879
2019-04-01,63.3116203719329
2019-05-01,63.2353271944543
2019-06-01,63.295531672937
2019-07-01,63.3005313295815
2019-08-01,63.1604113491417
2019-09-01,63.2437865415076
2019-10-01,63.3944606498972
2019-11-01,63.4487394957983
2019-12-01,63.7506185500068
2020-01-01,63.9586794252374
2020-02-01,63.6126286964576
2020-03-01,62.3164646706372
2020-04-01,61.7200338962587
2020-05-01,62.2298139699081
2020-06-01,62.3156070422755
2020-07-01,62.4429904163625
2020-08-01,62.2173228065321
2020-09-01,62.3417876820808
2020-10-01,62.5448416246212
2020-11-01,62.7662726837256
2020-12-01,62.4367708611631
2021-01-01,62.0897082369685
2021-02-01,62.4724366041896
2021-03-01,62.6655853533895
2021-04-01,62.7290554841174
2021-05-01,62.9194876689827
2021-06-01,62.897646461038
2021-07-01,62.738662095059
2021-08-01,62.6586053152596
2021-09-01,62.8026389562959
2021-10-01,62.95126483728
2021-11-01,62.9325093899883
2021-12-01,63.3757982918159
2022-01-01,63.4465196748658
2022-02-01,63.7802294050773
2022-03-01,63.5403467103648
2022-04-01,63.8097069864304
2022-05-01,64.1696006860411
2022-06-01,64.0562670585765
2022-07-01,64.1295605599944
2022-08-01,63.871757263024
2022-09-01,64.0162531606435
2022-10-01,63.969440710254
2022-11-01,63.9294666972655
