"시점",계,비임금근로자,*자영업자,-고용원이 있는 자영업자,-고용원이 없는 자영업자,-무급가족종사자,임금근로자,-상용근로자,-임시근로자,-일용근로자
"2000.10",21731,8193,6110,1497,4613,2083,13538,6524,4611,2403
"2000.11",21566,7933,5974,1491,4482,1959,13633,6575,4641,2417
"2000.12",21071,7533,5810,1520,4290,1723,13538,6568,4679,2291
"2001.01",20518,7302,5669,1492,4178,1633,13216,6562,4625,2029
"2001.02",20470,7410,5747,1495,4252,1663,13060,6566,4548,1946
"2001.03",20959,7673,5890,1505,4385,1783,13286,6648,4571,2068
"2001.04",21697,8051,6084,1534,4549,1968,13646,6740,4701,2205
"2001.05",21969,8153,6155,1563,4592,1998,13816,6771,4788,2257
"2001.06",21979,8142,6136,1558,4578,2006,13837,6770,4787,2280
"2001.07",22014,8134,6153,1542,4611,1981,13881,6748,4797,2336
"2001.08",21783,8242,6251,1549,4702,1991,13542,6711,4606,2224
"2001.09",22043,8257,6257,1564,4693,2001,13786,6769,4746,2271
"2001.10",22139,8311,6296,1585,4712,2015,13828,6758,4770,2300
"2001.11",22116,8113,6214,1593,4621,1899,14003,6772,4845,2386
"2001.12",21677,7669,6002,1594,4408,1668,14007,6790,4883,2334
"2002.01",21385,7553,5942,1599,4343,1611,13832,6751,4834,2247
"2002.02",21466,7550,5931,1592,4339,1619,13916,6761,4861,2294
"2002.03",21824,7942,6187,1636,4552,1754,13882,6799,4765,2318
"2002.04",22363,8166,6304,1634,4670,1862,14198,6869,4858,2470
"2002.05",22518,8215,6320,1622,4697,1895,14304,6865,4944,2495
"2002.06",22579,8246,6322,1628,4695,1923,14333,6879,4927,2528
"2002.07",22596,8221,6312,1631,4681,1909,14375,6876,4944,2555
"2002.08",22289,8234,6331,1631,4701,1903,14055,6871,4812,2372
"2002.09",22562,8238,6320,1619,4701,1918,14324,6942,4928,2454
"2002.10",22614,8235,6321,1602,4719,1914,14379,6964,4910,2506
"2002.11",22464,8034,6222,1590,4632,1812,14430,6972,4954,2504
"2002.12",22120,7678,6031,1580,4451,1647,14441,7000,4951,2491
"2003.01",21634,7457,5854,1559,4295,1603,14177,7171,4900,2106
"2003.02",21570,7488,5890,1570,4320,1597,14083,7185,4858,2039
"2003.03",21911,7553,5922,1570,4352,1631,14357,7252,4975,2130
"2003.04",22235,7707,5972,1569,4402,1735,14528,7266,5090,2172
"2003.05",22453,7889,6076,1594,4483,1813,14565,7304,5087,2174
"2003.06",22469,7896,6095,1613,4482,1801,14573,7284,5093,2197
"2003.07",22540,7892,6100,1640,4460,1792,14649,7275,5160,2214
"2003.08",22211,8017,6239,1681,4558,1777,14195,7267,4884,2045
"2003.09",22389,8021,6244,1690,4555,1776,14368,7362,4959,2047
"2003.10",22543,8012,6224,1692,4532,1788,14532,7382,5041,2108
"2003.11",22516,7835,6167,1703,4464,1668,14681,7422,5063,2197
"2003.12",22188,7508,6009,1676,4333,1499,14680,7445,5066,2170
"2004.01",22029,7468,5989,1674,4315,1478,14561,7459,5020,2083
"2004.02",22104,7506,6013,1667,4346,1493,14599,7482,5059,2057
"2004.03",22482,7649,6096,1681,4416,1553,14833,7530,5164,2139
"2004.04",22801,7805,6162,1673,4489,1643,14996,7582,5215,2199
"2004.05",22879,7896,6216,1670,4546,1680,14983,7627,5177,2179
"2004.06",22971,7877,6207,1675,4532,1670,15094,7629,5230,2235
"2004.07",22902,7805,6182,1663,4519,1623,15097,7593,5305,2199
"2004.08",22525,7907,6260,1683,4577,1648,14618,7722,4818,2077
"2004.09",22944,7918,6287,1699,4588,1631,15026,7768,4998,2260
"2004.10",23031,7926,6264,1698,4566,1662,15105,7801,4992,2313
"2004.11",22918,7748,6200,1678,4521,1549,15170,7815,5036,2318
"2004.12",22598,7445,6056,1667,4389,1389,15153,7798,5090,2265
"2005.01",22158,7325,5994,1636,4358,1332,14832,7788,4954,2090
"2005.02",22135,7379,6025,1628,4397,1354,14755,7790,4953,2012
"2005.03",22590,7537,6080,1622,4458,1456,15054,7873,5016,2165
"2005.04",22919,7656,6125,1621,4504,1532,15263,7912,5085,2266
"2005.05",23143,7758,6179,1637,4542,1579,15386,7966,5109,2311
"2005.06",23152,7782,6199,1664,4535,1583,15370,7923,5140,2308
"2005.07",23106,7761,6189,1660,4529,1573,15345,7879,5169,2296
"2005.08",22779,7831,6252,1689,4563,1579,14948,7921,4877,2151
"2005.09",22996,7794,6223,1693,4530,1571,15203,8027,5013,2163
"2005.10",23145,7805,6214,1677,4537,1591,15340,8012,5115,2212
"2005.11",23164,7714,6179,1675,4504,1534,15451,7985,5122,2343
"2005.12",22685,7395,6036,1667,4370,1358,15290,7995,5156,2140
"2006.01",22470,7257,5927,1623,4305,1330,15213,8054,5035,2124
"2006.02",22413,7286,5958,1617,4340,1328,15127,8056,4997,2074
"2006.03",22852,7448,6043,1641,4402,1405,15404,8130,5121,2153
"2006.04",23247,7596,6118,1611,4507,1478,15652,8189,5179,2284
"2006.05",23497,7720,6157,1628,4529,1563,15777,8222,5212,2343
"2006.06",23520,7749,6206,1645,4561,1543,15772,8175,5270,2326
"2006.07",23476,7693,6156,1624,4531,1537,15783,8172,5345,2266
"2006.08",23211,7791,6214,1658,4556,1577,15420,8297,5038,2086
"2006.09",23392,7725,6178,1632,4547,1547,15666,8403,5125,2139
"2006.10",23537,7750,6204,1621,4583,1546,15787,8448,5157,2182
"2006.11",23547,7661,6175,1648,4527,1485,15886,8428,5223,2235
"2006.12",23095,7282,5972,1616,4356,1309,15814,8407,5260,2147
"2007.01",22846,7085,5837,1554,4283,1247,15761,8461,5203,2098
"2007.02",22791,7143,5848,1574,4274,1295,15647,8480,5152,2016
"2007.03",23235,7392,5998,1558,4441,1394,15844,8516,5215,2112
"2007.04",23629,7552,6067,1557,4510,1485,16077,8544,5262,2271
"2007.05",23863,7654,6137,1554,4583,1518,16209,8631,5281,2297
"2007.06",23920,7680,6181,1582,4599,1499,16240,8719,5237,2284
"2007.07",23865,7616,6134,1572,4562,1482,16249,8773,5281,2195
"2007.08",23582,7575,6120,1552,4568,1456,16006,8862,5071,2073
"2007.09",23759,7571,6115,1575,4540,1456,16188,8926,5132,2130
"2007.10",23905,7610,6148,1591,4558,1462,16294,8925,5160,2209
"2007.11",23907,7540,6097,1588,4509,1444,16366,8889,5218,2259
"2007.12",23432,7180,5889,1551,4338,1291,16253,8848,5218,2187
"2008.01",23141,6964,5722,1501,4221,1242,16177,8910,5158,2109
"2008.02",23065,7084,5840,1554,4286,1244,15981,8898,5096,1988
"2008.03",23490,7352,5966,1529,4437,1386,16138,8994,5065,2079
"2008.04",23907,7497,6066,1565,4501,1431,16411,8992,5173,2246
"2008.05",24144,7578,6122,1586,4536,1456,16566,9111,5213,2242
"2008.06",24174,7629,6130,1556,4574,1499,16545,9142,5180,2223
"2008.07",24114,7592,6102,1535,4567,1490,16523,9156,5209,2158
"2008.08",23825,7567,6076,1519,4558,1490,16258,9210,5011,2037
"2008.09",23936,7565,6100,1538,4562,1465,16371,9243,5055,2073
"2008.10",24045,7583,6074,1527,4547,1509,16462,9236,5073,2153
"2008.11",24017,7494,6045,1528,4517,1448,16523,9206,5110,2207
"2008.12",23441,7112,5821,1521,4301,1291,16329,9160,5119,2050
"2009.01",23051,6854,5624,1480,4143,1230,16197,9201,5015,1981
"2009.02",22930,6839,5598,1479,4119,1241,16091,9288,4892,1911
"2009.03",23295,7085,5753,1498,4255,1332,16210,9264,4972,1974
"2009.04",23710,7221,5804,1523,4281,1417,16489,9316,5084,2089
"2009.05",23904,7285,5830,1537,4293,1455,16619,9403,5111,2105
"2009.06",24148,7278,5842,1563,4279,1436,16870,9427,5318,2125
"2009.07",24006,7285,5869,1562,4307,1416,16722,9472,5289,1961
"2009.08",23797,7188,5796,1509,4287,1392,16609,9563,5151,1895
"2009.09",23983,7168,5774,1532,4243,1394,16815,9695,5183,1938
"2009.10",24038,7219,5811,1566,4245,1409,16819,9716,5202,1901
"2009.11",23983,7069,5738,1578,4160,1331,16914,9688,5286,1940
"2009.12",23406,6729,5556,1559,3997,1173,16677,9716,5104,1857
"2010.01",23041,6621,5517,1544,3973,1104,16419,9796,4891,1733
"2010.02",23047,6639,5531,1525,4006,1108,16409,9871,4872,1666
"2010.03",23560,6816,5623,1521,4101,1194,16744,10009,5013,1721
"2010.04",24116,6988,5703,1515,4188,1285,17128,10095,5188,1845
"2010.05",24495,7110,5755,1504,4251,1355,17385,10161,5263,1961
"2010.06",24474,7148,5767,1532,4235,1381,17327,10174,5206,1947
"2010.07",24500,7139,5757,1512,4246,1382,17361,10195,5252,1914
"2010.08",24214,7025,5679,1493,4186,1346,17189,10244,5161,1784
"2010.09",24270,7021,5660,1498,4162,1361,17249,10310,5148,1791
"2010.10",24398,7067,5682,1514,4167,1386,17331,10380,5130,1821
"2010.11",24347,6883,5590,1514,4075,1294,17463,10439,5113,1912
"2010.12",23931,6605,5447,1508,3940,1158,17326,10463,5044,1820
"2011.01",23439,6437,5342,1503,3839,1095,17002,10413,4897,1693
"2011.02",23589,6557,5422,1517,3904,1136,17032,10504,4832,1696
"2011.03",24114,6863,5618,1522,4096,1245,17252,10659,4835,1757
"2011.04",24581,7032,5708,1505,4204,1324,17549,10736,4980,1832
"2011.05",24950,7124,5729,1515,4214,1395,17826,10833,5119,1874
"2011.06",25053,7120,5734,1517,4217,1385,17933,10846,5194,1893
"2011.07",24933,7056,5732,1521,4211,1324,17878,10849,5196,1833
"2011.08",24784,7069,5743,1511,4232,1326,17715,10837,5090,1788
"2011.09",24604,7026,5756,1529,4227,1269,17579,10891,5103,1584
"2011.10",24965,7150,5794,1552,4242,1356,17815,10926,5150,1739
"2011.11",24885,7023,5728,1552,4176,1295,17862,10972,5105,1786
"2011.12",24421,6710,5581,1564,4018,1129,17711,10958,5044,1709
"2012.01",24024,6625,5532,1573,3959,1093,17399,10916,4920,1563
"2012.02",24079,6635,5550,1570,3980,1085,17444,10957,4930,1557
"2012.03",24566,6921,5735,1578,4157,1186,17645,11057,5048,1540
"2012.04",25058,7154,5862,1605,4257,1292,17904,11119,5144,1642
"2012.05",25431,7270,5901,1630,4271,1369,18161,11228,5202,1731
"2012.06",25412,7253,5888,1611,4277,1365,18158,11324,5141,1694
"2012.07",25378,7250,5904,1585,4320,1345,18128,11318,5123,1688
"2012.08",25121,7179,5846,1560,4286,1334,17941,11361,4975,1605
"2012.09",25257,7197,5847,1534,4313,1350,18060,11442,4998,1620
"2012.10",25315,7167,5823,1532,4291,1344,18148,11445,5002,1702
"2012.11",25182,7058,5750,1540,4211,1308,18124,11418,4996,1710
"2012.12",24637,6701,5582,1520,4062,1119,17936,11411,4910,1615
"2013.01",24287,6536,5503,1506,3997,1034,17750,11422,4823,1506
"2013.02",24215,6555,5528,1527,4001,1027,17660,11465,4756,1440
"2013.03",24736,6832,5679,1550,4130,1152,17905,11637,4795,1473
"2013.04",25322,7018,5764,1555,4209,1254,18304,11742,4916,1646
"2013.05",25610,7069,5778,1550,4228,1291,18542,11849,4985,1708
"2013.06",25686,7107,5781,1553,4228,1326,18579,11871,5000,1707
"2013.07",25681,7116,5796,1543,4253,1319,18566,11939,5004,1623
"2013.08",25513,7110,5797,1526,4271,1313,18403,11974,4886,1543
"2013.09",25701,7099,5776,1533,4243,1323,18602,12027,4961,1615
"2013.10",25798,7122,5768,1524,4244,1354,18676,12021,4989,1666
"2013.11",25795,7027,5726,1524,4201,1301,18768,12115,5006,1648
"2013.12",25248,6623,5537,1508,4029,1086,18625,12100,4906,1619
"2014.01",25050,6581,5525,1528,3997,1056,18469,12116,4792,1561
"2014.02",25116,6604,5531,1522,4009,1073,18513,12137,4863,1513
"2014.03",25463,6848,5681,1560,4121,1167,18615,12198,4964,1453
"2014.04",25985,7033,5781,1581,4200,1253,18952,12315,5083,1554
"2014.05",26112,7068,5766,1576,4190,1302,19043,12334,5122,1588
"2014.06",26178,7101,5795,1595,4200,1306,19078,12378,5096,1604
"2014.07",26280,7117,5800,1596,4204,1317,19164,12331,5255,1578
"2014.08",26183,7191,5872,1612,4259,1319,18992,12329,5139,1524
"2014.09",26213,7080,5809,1584,4225,1271,19134,12376,5175,1583
"2014.10",26247,7086,5797,1614,4183,1289,19161,12397,5146,1618
"2014.11",26260,6968,5744,1611,4133,1225,19292,12452,5156,1683
"2014.12",25679,6588,5537,1589,3948,1051,19091,12468,5039,1584
"2015.01",25392,6472,5459,1574,3884,1013,18920,12458,4934,1529
"2015.02",25471,6511,5470,1579,3892,1041,18959,12503,4921,1536
"2015.03",25766,6777,5657,1647,4010,1120,18989,12507,5000,1482
"2015.04",26153,6891,5717,1659,4058,1174,19262,12584,5045,1634
"2015.05",26431,6972,5761,1654,4107,1212,19459,12648,5084,1726
"2015.06",26440,6955,5726,1630,4096,1229,19485,12684,5151,1651
"2015.07",26538,6947,5713,1613,4099,1234,19591,12751,5216,1624
"2015.08",26369,6894,5678,1624,4055,1216,19474,12798,5131,1545
"2015.09",26487,6861,5650,1606,4044,1211,19626,12877,5195,1555
"2015.10",26519,6834,5628,1588,4040,1207,19684,12916,5234,1534
"2015.11",26469,6734,5580,1580,4000,1154,19735,12902,5320,1514
"2015.12",26098,6458,5430,1560,3870,1028,19640,12966,5143,1531
"2016.01",25646,6319,5357,1532,3825,962,19327,12912,4945,1471
"2016.02",25615,6337,5355,1514,3841,982,19278,12948,4907,1424
"2016.03",25980,6621,5533,1544,3989,1088,19359,12965,5025,1369
"2016.04",26325,6740,5596,1556,4040,1144,19585,12994,5130,1461
"2016.05",26613,6856,5674,1590,4083,1182,19757,13070,5232,1455
"2016.06",26718,6859,5681,1597,4083,1178,19859,13081,5245,1532
"2016.07",26765,6874,5690,1595,4095,1184,19890,13073,5273,1545
"2016.08",26696,6953,5744,1618,4126,1208,19743,13050,5213,1480
"2016.09",26697,6934,5723,1619,4104,1211,19763,13133,5162,1467
"2016.10",26746,6936,5736,1624,4111,1200,19810,13144,5160,1506
"2016.11",26762,6866,5705,1613,4092,1161,19896,13178,5166,1553
"2016.12",26347,6584,5572,1605,3966,1012,19763,13194,5030,1539
"2017.01",25878,6486,5524,1595,3928,963,19392,13158,4762,1473
"2017.02",25979,6546,5568,1590,3978,978,19433,13247,4745,1441
"2017.03",26443,6729,5659,1599,4060,1070,19714,13371,4914,1429
"2017.04",26744,6841,5695,1588,4107,1147,19903,13358,5003,1542
"2017.05",26992,6886,5718,1601,4116,1169,20106,13420,5097,1589
"2017.06",27020,6892,5716,1588,4128,1176,20128,13407,5129,1592
"2017.07",27078,6906,5731,1587,4144,1175,20173,13472,5112,1590
"2017.08",26904,6898,5733,1580,4153,1165,20006,13517,5046,1443
"2017.09",27011,6922,5762,1623,4138,1160,20089,13519,5055,1515
"2017.10",27026,6952,5775,1654,4120,1178,20074,13509,5044,1522
"2017.11",27019,6848,5708,1644,4064,1139,20171,13554,5071,1547
"2017.12",26604,6586,5590,1642,3948,997,20018,13600,4928,1489
"2018.01",26213,6498,5533,1663,3871,965,19715,13643,4667,1404
"2018.02",26083,6483,5526,1655,3872,957,19600,13680,4563,1356
"2018.03",26555,6644,5618,1662,3956,1026,19910,13679,4819,1413
"2018.04",26868,6825,5696,1637,4059,1129,20043,13677,4920,1446
"2018.05",27064,6876,5724,1643,4081,1152,20187,13741,4984,1463
"2018.06",27126,6880,5701,1662,4039,1180,20246,13772,4999,1475
"2018.07",27083,6871,5701,1659,4042,1169,20213,13743,5004,1466
"2018.08",26907,6862,5681,1651,4030,1181,20045,13795,4859,1391
"2018.09",27055,6849,5679,1657,4022,1171,20206,13849,4865,1492
"2018.10",27090,6817,5669,1650,4019,1148,20273,13859,4906,1509
"2018.11",27184,6765,5630,1659,3972,1134,20419,13897,4955,1568
"2018.12",26638,6493,5496,1616,3879,997,20146,13934,4672,1540
"2019.01",26232,6425,5472,1614,3858,953,19807,13923,4455,1429
"2019.02",26346,6450,5480,1605,3876,970,19896,13979,4520,1397
"2019.03",26805,6615,5607,1592,4015,1008,20190,14102,4704,1384
"2019.04",27038,6737,5655,1567,4088,1083,20301,14001,4876,1425
"2019.05",27322,6818,5683,1584,4099,1135,20504,14070,4954,1480
"2019.06",27408,6853,5706,1536,4170,1147,20555,14161,4913,1481
"2019.07",27383,6821,5676,1520,4155,1146,20562,14181,4918,1463
"2019.08",27358,6799,5662,1535,4127,1138,20559,14288,4857,1415
"2019.09",27404,6779,5632,1491,4141,1147,20625,14390,4856,1379
"2019.10",27509,6762,5628,1507,4121,1135,20747,14434,4885,1428
"2019.11",27515,6668,5582,1462,4120,1086,20847,14490,4900,1457
"2019.12",27154,6464,5485,1436,4049,979,20690,14575,4706,1409
"2020.01",26800,6423,5462,1450,4011,962,20376,14586,4423,1367
